Station: FN02C, Start: 2013-08-31, End: 2014-06-28, Lat: 46.9497, Lon: -124.4280, Depth: -67.0, BH1: 141, BH2: 231
Station: FN03C, Start: 2013-08-31, End: 2014-06-28, Lat: 46.8872, Lon: -124.5251, Depth: -93.0, BH1: 26, BH2: 116
Station: FN04C, Start: 2013-08-31, End: 2014-06-26, Lat: 46.9175, Lon: -124.6013, Depth: -104.0, BH1: 163, BH2: 253
Station: FN05C, Start: 2013-08-31, End: 2014-06-26, Lat: 46.8575, Lon: -124.6556, Depth: -123.0, BH1: 357, BH2: 87
Station: FN07C, Start: 2013-09-01, End: 2014-06-29, Lat: 46.8554, Lon: -124.7860, Depth: -158.0, BH1: 171, BH2: 261
Station: FN08C, Start: 2013-09-02, End: 2014-06-30, Lat: 46.8887, Lon: -124.8760, Depth: -176.0, BH1: 324, BH2: 54
Station: FN09C, Start: 2013-09-01, End: 2014-07-01, Lat: 46.8402, Lon: -124.8872, Depth: -198.0, BH1: 162, BH2: 252
Station: FN10C, Start: 2013-09-02, End: 2014-06-26, Lat: 46.8981, Lon: -124.9935, Depth: -811.0, BH1: 245, BH2: 335
Station: FN11C, Start: 2013-09-02, End: 2014-06-26, Lat: 46.8205, Lon: -125.0454, Depth: -619.0, BH1: 252, BH2: 342
Station: FN12C, Start: 2013-09-03, End: 2014-06-30, Lat: 46.8887, Lon: -125.1190, Depth: -656.0, BH1: 318, BH2: 48
Station: FN13C, Start: 2013-09-04, End: 2014-06-28, Lat: 47.0004, Lon: -125.3011, Depth: -1764.0, BH1: 76, BH2: 166
Station: FN14C, Start: 2013-09-03, End: 2014-06-28, Lat: 47.0249, Lon: -124.9642, Depth: -173.0, BH1: 221, BH2: 311
Station: FN19C, Start: 2013-08-30, End: 2014-06-29, Lat: 46.7301, Lon: -124.3668, Depth: -72.0, BH1: 182, BH2: 272
Station: J25C, Start: 2013-08-22, End: 2014-06-01, Lat: 44.4730, Lon: -124.6217, Depth: -144.0, BH1: 215, BH2: 305
Station: J33C, Start: 2013-08-22, End: 2014-05-29, Lat: 45.1068, Lon: -124.5708, Depth: -354.0, BH1: 215, BH2: 305
Station: J52C, Start: 2013-08-20, End: 2014-05-31, Lat: 46.9920, Lon: -127.0158, Depth: -2640.0, BH1: 129, BH2: 219
Station: J53C, Start: 2013-08-20, End: 2014-05-31, Lat: 47.1643, Lon: -127.9223, Depth: -2717.0, BH1: 301, BH2: 31
